Item Label;Description;alias;instance of;P1:string;P69:string;P44:wikibase-item;P33:quantity;P64:wikibase-item;P27:wikibase-item;P32:time;P49:wikibase-item;P50:wikibase-item;P52:wikibase-item;P56:wikibase-item;P55:wikibase-item;P59:wikibase-item;P57:wikibase-item;P65:wikibase-item;P58:wikibase-item;P60:wikibase-item;P54:wikibase-item;P53:wikibase-item;P51:string;P61:wikibase-itemPQ62-Cousin;P61:wikibase-itemPQ62-Grandchild;P61:wikibase-itemPQ62-Nephew;P61:wikibase-itemPQ62-Uncle;P61:wikibase-itemPQ62-Grandfather;P61:wikibase-itemPQ62-Grandmother;P61:wikibase-itemPQ62-Sibling-in-law;P61:wikibase-itemPQ62-Father-in-law;P61:wikibase-itemPQ62-Son-in-law;P66:string;P67:string;P28:wikibase-item;P6:wikibase-item;P5:wikibase-item;P43:wikibase-item;P19:wikibase-item;P18:wikibase-item;P17:wikibase-item;P12:wikibase-itemPQ13-Witness;P12:wikibase-itemPQ13-Notary;P12:wikibase-itemPQ13-Judge;P12:wikibase-itemPQ13-PartyA;P12:wikibase-itemPQ13-PartyB;P15:wikibase-item;P37:wikibase-item;P35:wikibase-item;P46:wikibase-item
AMSPO-D107;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1679;Within_1358-09-22;Sale;AMSPO-D107payment;AMSPO-D107_Properties;D107P697;D107P154;D107P24|D107P114|D107P734|D107P25|D107P253;;;;;;;;
AMSPO-D108;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1682;Within_1359-03-26;Sale;AMSPO-D108payment;AMSPO-D108_Properties;D108P220;D108P154;D108P42|D108P175|D108P129|D108P121;;;;;;;;
AMSPO-D109;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1681;Within_1359-04-20;Sale;AMSPO-D109payment;AMSPO-D109_Properties;D109P717|D109P188;D109P154;D109P497|D109P654|D109P365|D109P42;;;;;;;;
AMSPO-D11;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1561;Within_1328-02-29;Sale;AMSPO-D11payment;AMSPO-D11_Properties;D11P659|D11P696;D11P154|D11P103;D11P496|D11P384|D11P432|D11P383|D11P543|D11P429;;;;;;;;
AMSPO-D110;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1684;Within_1359-05-05;Sale;AMSPO-D110payment;AMSPO-D110_Properties;D110P583;D110P154;D110P371|D110P733|D110P175|D110P271|D110P210;;;;;;;;
AMSPO-D111;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1738;Within_1359-05-10;Sale;AMSPO-D111payment;AMSPO-D111_Properties;D111P100;D111P154;D111P48|D111P668|D111P207|D111P175;;;;;;;;
AMSPO-D112;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1661;Within_1359-06-10;Sale;AMSPO-D112payment;AMSPO-D112_Properties;D112P512;D112P154;D112P264|D112P214|D112P175|D112P228|D112P67;;;;;;;;
AMSPO-D113;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1663;Within_1359-06-20;Sale;AMSPO-D113payment;AMSPO-D113_Properties;D113P188|D113P717;D113P154;D113P713|D113P283|D113P596;;;;;;;;
AMSPO-D114;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1686;Within_1359-06-23;Sale;AMSPO-D114payment;AMSPO-D114_Properties;D114P697;D114P154;D114P175|D114P373|D114P611|D114P231|D114P189;;;;;;;;
AMSPO-D115;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1685;Within_1359-06-30;Sale;AMSPO-D115payment;AMSPO-D115_Properties;D115P84;D115P154;D115P580|D115P503|D115P526;;;;;;;;
AMSPO-D116;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1683;Within_1359-12-08;Sale;AMSPO-D116payment;AMSPO-D116_Properties;D116P255|D116P401;D116P154;D116P247|D116P175|D116P372|D116P221;;;;;;;;
AMSPO-D117;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1680;Within_1359-12-12;Sale;AMSPO-D117payment_2|AMSPO-D117payment_1;AMSPO-D117_Properties;D117P222|D117P720|D117P583;D117P154;D117P526|D117P204|D117P715|D117P315|D117P504;;;;;;;;
AMSPO-D118;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1680;Within_1359-12-30;Sale;AMSPO-D118payment;AMSPO-D118_Properties;D118P717|D118P188;D118P154;D118P711|D118P526|D118P456|D118P408;;;;;;;;
AMSPO-D119;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1687;Within_1360-01-02;Sale;AMSPO-D119payment;AMSPO-D119_Properties;D119P144;D119P154;D119P9|D119P526|D119P22|D119P412;;;;;;;;
AMSPO-D120;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1687;Within_1360-01-24;Sale;AMSPO-D120payment;AMSPO-D120_Properties;D120P697;D120P154;D120P244|D120P741|D120P397|D120P431|D120P580;;;;;;;;
AMSPO-D121;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1688;Within_1360-03-22;Sale;AMSPO-D121payment;AMSPO-D121_Properties;D121P86;D121P154;D121P23|D121P471|D121P158|D121P245|D121P526;;;;;;;;
AMSPO-D122;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1690;Within_1360-05-18;Sale;AMSPO-D122payment;AMSPO-D122_Properties;D122P417|D122P660;D122P154;D122P246|D122P486|D122P526;;;;;;;;
AMSPO-D123;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1692;Within_1361-08-12;Sale;AMSPO-D123payment;AMSPO-D123_Properties;D123P716;D123P154;D123P102|D123P687|D123P413|D123P725|D123P273|D123P311|D123P629;;;;;;;;
AMSPO-D124;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1691;Within_1361-11-30;Sale;AMSPO-D124payment;AMSPO-D124_Properties;D124P102;D124P154;D124P535|D124P75|D124PB1;;;;;;;;
AMSPO-D125;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1696;Within_1362-03-19;Sale;AMSPO-D125payment;AMSPO-D125_Properties;D125P727|D125P711;D125P154;D125P570|D125PB1|D125P218|D125P480|D125P482;;;;;;;;
AMSPO-D126;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1695;Within_1362-06-30;Sale;AMSPO-D126payment;AMSPO-D126_Properties;D126P697;D126P645|D126P21|D126P5;D126P136|D126P170|D126P131|D126P227;;;;;;;;
AMSPO-D127;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1694;Within_1362-07-17;Sale;AMSPO-D127payment;AMSPO-D127_Properties;D127P414|D127P110;D127P5|D127P645|D127P21;D127P48|D127P382|D127P598|D127P440|D127P211;;;;;;;;
AMSPO-D128;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1697;Within_1363-04-09;Sale;AMSPO-D128payment;AMSPO-D128_Properties;D128P330;D128P21|D128P645|D128P5;D128P114|D128P588|D128P239;;;;;;;;
AMSPO-D13_2;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1568;Within_1328-11-13;Sale;AMSPO-D13payment;AMSPO-D13_2_Properties;D13P678;D13P154;D13P542|D13P289|D13P465|D13P47|D13P296;;;;;;;;
AMSPO-D14;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1566;Within_1329-01-11;Sale;AMSPO-D14payment;AMSPO-D14_Properties;D14P658|D14P314;D14P103|D14P154;D14P69|D14P390|D14P34;;;;;;;;
AMSPO-D15;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1576;Within_1329-03-06;Sale;AMSPO-D15payment;AMSPO-D15_Properties;D15P491;D15P103|D15P154;D15P369|D15P402|D15P406;;;;;;;;
AMSPO-D16;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1565;Within_1329-04-29;Sale;AMSPO-D16payment;AMSPO-D16_Properties;D16P659|D16P696;D16P154|D16P103;D16P543|D16P282|D16P208|D16P48|D16P120|D16P77|D16P703|D16P252;;;;;;;;
AMSPO-D17;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1567;Within_1329-06-03;Sale;AMSPO-D17payment;AMSPO-D17_Properties;D17P324;D17P103|D17P154;D17P543|D17P327|D17P615|D17P656|D17P190|D17P385;;;;;;;;
AMSPO-D18;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1722;Within_1329-06-08;Sale;AMSPO-D18payment;AMSPO-D18_Properties;D18P659|D18P696;D18P154|D18P103;D18P78|D18P446|D18P49|D18P610|D18P543|D18P6;;;;;;;;
AMSPO-D19;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1572;Within_1329-06-18;Sale;AMSPO-D19payment;AMSPO-D19_Properties;D19P328;D19P154|D19P103;D19P48|D19P646|D19P15|D19P543;;;;;;;;
AMSPO-D2;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1552;Within_1326-12-14;Sale;AMSPO-D2payment;AMSPO-D2_Properties;D2P694;D2P103|D2P154;D2P695|D2P352|D2P578;;;;;;;;
AMSPO-D20;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1578;Within_1329-06-18;Sale;AMSPO-D20payment;;;;D20P646|D20P48|D20P15|D20P543;;;;;;;;
AMSPO-D21;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1574;Within_1329-07-30;Sale;AMSPO-D21payment;AMSPO-D21_Properties;D21P538|D21P223;D21P103|D21P154;D21P389|D21P2|D21P31|D21P556|D21P543|D21P282|D21P502|D21P43;;;;;;;;
AMSPO-D22;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1577;Within_1329-09-07;Sale;AMSPO-D22payment;AMSPO-D22_Properties;D22P704|D22P257|D22P681|D22P729;D22P103|D22P154;D22P156|D22P346|D22P498|D22P160;;;;;;;;
AMSPO-D23;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1570;Within_1329-09-19;Sale;AMSPO-D23payment;AMSPO-D23_Properties;D23P257|D23P729;D23P103|D23P154;D23P265|D23P399|D23P543;;;;;;;;
AMSPO-D24;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1581;Within_1330-06-06;Sale;AMSPO-D24payment;AMSPO-D24_Properties;D24P678;D24P103|D24P154;D24P206|D24P519|D24P641|D24P348|D24P466;;;;;;;;
AMSPO-D25;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1612;Within_1330-08-18;Sale;AMSPO-D25payment;AMSPO-D25_Properties;D25P457;D25P103|D25P154;D25P577|D25P176|D25P469|D25P350|D25P191;;;;;;;;
AMSPO-D26;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1579;Within_1330-11-19;Sale;AMSPO-D26payment;AMSPO-D26_Properties;D26P729|D26P257;D26P103|D26P154;D26P490|D26P460|D26P529|D26P301|D26P302;;;;;;;;
AMSPO-D27;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1583;Within_1331-01-10;Sale;AMSPO-D27payment;AMSPO-D27_Properties;D27PB1|D27P584;D27P154|D27P103;D27P375|D27PB3|D27P387|D27P585;;;;;;;;
AMSPO-D28;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1582;Within_1331-02-10;Sale;AMSPO-D28payment;AMSPO-D28_Properties;D28P686;D28P103|D28P154;D28P541|D28P567|D28P474|D28P631;;;;;;;;
AMSPO-D29;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1584;Within_1332-04-21;Sale;AMSPO-D29payment;AMSPO-D29_Properties;D29P729|D29P257;D29P154|D29P103;D29P282|D29P418|D29P41;;;;;;;;
AMSPO-D30;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1585;Within_1332-11-10;Sale;AMSPO-D30payment;AMSPO-D30_Properties;D30P81|D30P64;D30P103|D30P154;D30P632|D30P587|D30P543|D30P36;;;;;;;;
AMSPO-D31;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1589;Within_1332-11-22;Sale;AMSPO-D31payment;AMSPO-D31_Properties;D31P64;D31P154|D31P103;D31P655|D31P76|D31P543|D31P82;;;;;;;;
AMSPO-D32;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1586;Within_1332-11-22;Retrosale;AMSPO-D32payment_1|AMSPO-D32payment_2;AMSPO-D32_Properties;D32P154|D32P103;D32P64;D32P543|D32P82|D32P76|D32P655;;;;;;;;
AMSPO-D33;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1588;Within_1332-12-06;Sale;AMSPO-D33payment;AMSPO-D33_Properties;D33P81;D33P103|D33P154;D33P543|D33P624|D33P391|D33P64|D33P14;;;;;;;;
AMSPO-D34;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1590;Within_1332-12-06;Retrosale;AMSPO-D34payment_2|AMSPO-D34payment_1;AMSPO-D34_Properties;D34P154|D34P103;D34P81;D34P297|D34P543|D34P64|D34P14|D34P391;;;;;;;;
AMSPO-D35;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1597;Within_1333-03-09;Sale;AMSPO-D35payment;AMSPO-D35_Properties;D35P30|D35P3;D35P103|D35P154;D35P219|D35P534|D35P631;;;;;;;;
AMSPO-D36;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1598;Within_1333-03-27;Sale;AMSPO-D36payment;AMSPO-D36_Properties;D36P103|D36P116;D36P106|D36P117;D36P317|D36P642|D36P7;;;;;;;;
AMSPO-D37;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1592;Within_1333-04-11;Sale;AMSPO-D37payment;AMSPO-D37_Properties;D37P80;D37P103|D37P154;D37P509|D37P150|D37P593;;;;;;;;
AMSPO-D38;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1593;Within_1333-05-16;Sale;AMSPO-D38payment;AMSPO-D38_Properties;D38P80|D38P57;D38P103|D38P154;D38P88|D38P235|D38P32|D38P557;;;;;;;;
AMSPO-D39;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1594;Within_1333-06-09;Sale;AMSPO-D39payment;AMSPO-D39_Properties;D39P532;D39P103|D39P154;D39P386|D39P604|D39P641|D39P573|D39P124|D39P622|D39P8;;;;;;;;
AMSPO-D40;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1631;Within_1333-07-19;Sale;AMSPO-D40payment;AMSPO-D40_Properties;D40P729|D40P257;D40P154|D40P103;D40P421|D40P674|D40P293|D40P470;;;;;;;;
AMSPO-D41_2;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1591_b;Within_1297-11-04;Sale;AMSPO-D41payment;AMSPO-D41_Properties;D41P707;D41P726;;;;;;;;;
AMSPO-D43;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1596;Within_1333-08-08;Sale;AMSPO-D43payment;AMSPO-D43_Properties;D43P87;D43P103|D43P154;D43P358|D43P70|D43P192|D43P185;;;;;;;;
AMSPO-D44;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1600;Within_1334-05-17;Sale;AMSPO-D44payment;AMSPO-D44_Properties;D44P714|D44P723;D44P154|D44P103;D44P664|D44P206|D44P558|D44P573|D44P722;;;;;;;;
AMSPO-D45;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1599;Within_1334-11-06;Sale;AMSPO-D45payment;AMSPO-D45_Properties;D45P64|D45P81;D45P154|D45P103;D45P732|D45P377|D45P48|D45P605;;;;;;;;
AMSPO-D46;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1730;Within_1334-11-06;Lease;AMSPO-D46payment;AMSPO-D46_Properties;D46P103|D46P154;D46P572;D46P186|D46P149|D46P464;;;;;;;;
AMSPO-D47;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1601;Within_1334-12-08;Sale;AMSPO-D47payment;AMSPO-D47_Properties;D47P714|D47P419;D47P103|D47P154;D47P163|D47P318|D47P522|D47P240;;;;;;;;
AMSPO-D49;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO306;Within_1335-02-27;Lease;AMSPO-D49payment;AMSPO-D49_Properties;D49P103|D49P154;D49P74;D49P16|D49P539|D49P201|D49P291;;;;;;;;
AMSPO-D5;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1554;Within_1327-01-26;Sale;AMSPO-D5payment;AMSPO-D5_Properties;D5P107;D5P154|D5P103;D5P591|D5PB2|D5P566|D5P355|D5PB3;;;;;;;;
AMSPO-D50;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1731;Within_1335-02-27;Sale;AMSPO-D50payment;AMSPO-D50_Properties;D50P714|D50P419;D50P103|D50P154;D50P74|D50P16|D50P201|D50P291;;;;;;;;
AMSPO-D51;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1603;Within_1335-06-05;Sale;AMSPO-D51payment;AMSPO-D51_Properties;D51P527;D51P103|D51P154;D51P683|D51P40|D51P485|D51P213|D51P63|D51P543;;;;;;;;
AMSPO-D52;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1608;Within_1336-06-30;Sale;AMSPO-D52payment;AMSPO-D52_Properties;D52P603|D52P561|D52P259;D52P103|D52P154;D52P292|D52P499|D52P341|D52P488|D52P346|D52P436;;;;;;;;
AMSPO-D53;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1607;Within_1336-06-05;Sale;AMSPO-D53payment;AMSPO-D53_Properties;D53P714|D53P521;D53P103|D53P154;D53P514|D53P468|D53P469|D53P152|D53P424;;;;;;;;
AMSPO-D54;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1609;Within_1337-01-09;Sale;AMSPO-D54payment;AMSPO-D54_Properties;D54P81;D54P103|D54P154;D54P462|D54P469|D54P64|D54P241|D54P540;;;;;;;;
AMSPO-D55;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1610;Within_1337-05-18;Sale;AMSPO-D55payment;AMSPO-D55_Properties;D55P257|D55P729;D55P103|D55P154;D55P400|D55P233|D55P544|D55P85|D55P575|D55P153;;;;;;;;
AMSPO-D57;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1569;Within_1339-03-25;Sale;AMSPO-D57payment;AMSPO-D57_Properties;D57P563|D57P224;D57P154|D57P103;D57P376|D57P515|D57P543|D57P522;;;;;;;;
AMSPO-D58;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1613;Within_1340-07-17;Sale;AMSPO-D58payment_1|AMSPO-D58payment_2;AMSPO-D58_Properties;D58P493;D58P154|D58P103;D58P117|D58P132|D58P458|D58P376;;;;;;;;
AMSPO-D59;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1580;Within_1340-07-17;Sale;AMSPO-D59payment;AMSPO-D59_Properties;D59P563|D59P224;D59P103|D59P154;D59P728|D59P312|D59P322|D59P513|D59P46|D59P233;;;;;;;;
AMSPO-D6;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1628;Within_1327-05-02;Sale;AMSPO-D6payment;AMSPO-D6_Properties;D6P306|D6P501;D6P103|D6P154;D6P653|D6P347|D6P473|D6P467|D6P543|D6P443;;;;;;;;
AMSPO-D60;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1614;Within_1340-12-17;Sale;AMSPO-D60payment;AMSPO-D60_Properties;D60P731|D60P13;D60P103|D60P154;D60P728|D60P381|D60P619;;;;;;;;
AMSPO-D61;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1735;Within_1340-12-22;Sale;AMSPO-D61payment;AMSPO-D61_Properties;D61P448;D61P103|D61P154;D61PB1|D61PB2|D61P46|D61P118;;;;;;;;
AMSPO-D62;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1621;Within_1341-01-21;Sale;AMSPO-D62payment;AMSPO-D62_Properties;D62P81|D62P607;D62P154|D62P103;D62P299|D62P323|D62P68|D62P201|D62P376;;;;;;;;
AMSPO-D63;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1617;Within_1341-01-27;Sale;AMSPO-D63payment;AMSPO-D63_Properties;D63P522;D63P103|D63P154;D63PB3|D63P376|D63P346|D63P450;;;;;;;;
AMSPO-D64;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1618;Within_1341-05-28;Sale;AMSPO-D64payment;AMSPO-D64_Properties;D64P157;D64P154|D64P103;D64P37|D64P310|D64P712|D64PB2|D64P738;;;;;;;;
AMSPO-D65;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1615;Within_1341-09-22;Sale;AMSPO-D65payment;AMSPO-D65_Properties;D65P493;D65P154|D65P103;D65P543|D65P393|D65P182|D65P258|D65P26;;;;;;;;
AMSPO-D66;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1619;Within_1341-11-11;Sale;AMSPO-D66payment;AMSPO-D66_Properties;D66P248;D66P154|D66P103;D66P145|D66P206|D66PB1|D66P357;;;;;;;;
